"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat May 06 16:41:10 GMT 2023","Sat May 06 16:41:21 GMT 2023","10952","","tests.FirstSelenideTest","","tests.FirstSelenideTest","bookingFindHotel","bookingFindHotel","Находим отель, открываем его страницу через карту и проверяем совпадение данных на новой странице отеля"
"failed","Sat May 06 16:40:54 GMT 2023","Sat May 06 16:41:10 GMT 2023","15878","","Добавляем нужный отель в избранное и удаляем его из избранного на новой странице","","tests.SecondSelenideTest","bookingFindHotel2","bookingFindHotel2","Добавляем нужный отель в избранное и удаляем его из избранного на новой странице"
